|ACCOCI|ASSETS|ASSETSC|ASSETSNC|BVPS|CAPEX|CASHNEQ|CASHNEQUSD|COR|CURRENTRATIO|DE|DEBT|DEBTUSD|DEPAMOR|DILUTIONRATIO|DPS|Date|EBIT|EBITDA|EBITDAUSD|EBITUSD|EBT|EPS|EPSDIL|EPSUSD|EQUITY|EQUITYUSD|FCF|FCFPS|GP|INTANGIBLES|INTEXP|INVCAP|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|NCF|NCFCOMMON|NCFDEBT|NCFDIV|NCFF|NCFI|NCFO|NCFX|NETINC|NETINCCMN|NETINCCMNUSD|NETINCDIS|PAYABLES|PREFDIVIS|RECEIVABLES|RETEARN|REVENUE|REVENUEUSD|RND|SGNA|SHARESWA|SHARESWADIL|SYMBOL|TANGIBLES|TAXEXP|TBVPS|WORKINGCAPITAL
2|274000.0|1731899000.0|||12.93055592|-66730000.0|176257000.0|176257000.0|374506000.0||0.77348001|153789000.0|153789000.0|600671000.0||0.05|2011-12-31|188086000.0|788757000.0|788757000.0|188086000.0|183377000.0|1.46|1.43|1.46|976554000.0|976554000.0|240465000.0|3.18399815|1638072000.0|225408000.0|4709000.0|1484023000.0|0.0|755345000.0|||104235000.0|-121076000.0|111999000.0|-4073000.0|-11886000.0|-191074000.0|307195000.0|0.0|113767000.0|113767000.0|113767000.0|0.0|228303000.0|0.0|87471000.0|918699000.0|2012578000.0|2012578000.0|0.0|866600000.0|75522971.0||AAN|1506491000.0|69610000.0|19.94745413|
3|-69000.0|1812929000.0|||15.02741664|-58283000.0|129534000.0|129534000.0|408970000.0||0.59571122|141528000.0|141528000.0|658335000.0||0.06|2012-12-31|283247000.0|941582000.0|941582000.0|283247000.0|276855000.0|2.28|2.25|2.28|1136126000.0|1136126000.0|1471000.0|0.01945676|1803857000.0|240221000.0|6392000.0|1584702000.0|0.0|676803000.0|||-46723000.0|-18375000.0|-12261000.0|-5843000.0|-30512000.0|-75965000.0|59754000.0|0.0|173043000.0|173043000.0|173043000.0|0.0|225532000.0|0.0|74157000.0|1087032000.0|2212827000.0|2212827000.0|0.0|952617000.0|75603547.0||AAN|1572708000.0|103812000.0|20.80203988|
4|-64000.0|1827176000.0|||14.94628707|-51304000.0|231091000.0|231091000.0|361899000.0||0.60283799|142704000.0|142704000.0|685105000.0||0.07|2013-12-31|190573000.0|875678000.0|875678000.0|190573000.0|184960000.0|1.59|1.58|1.59|1139963000.0|1139963000.0|257133000.0|3.37132313|1872732000.0|242716000.0|5613000.0|1496073000.0|0.0|687213000.0|||101557000.0|-115076000.0|-2356000.0|-3875000.0|-119926000.0|-86954000.0|308437000.0|0.0|120666000.0|120666000.0|120666000.0|0.0|243910000.0|0.0|68684000.0|1202219000.0|2234631000.0|2234631000.0|0.0|1022684000.0|76270648.0||AAN|1584460000.0|64294000.0|20.77417777|
5|-90000.0|2456844000.0|||16.88216271|-41533000.0|3549000.0|3549000.0|354598000.0||1.00801131|606082000.0|606082000.0|1018234000.0||0.09|2014-12-31|140919000.0|1159153000.0|1159153000.0|140919000.0|121704000.0|1.08|1.08|1.08|1223521000.0|1223521000.0|-90495000.0|-1.24865149|2340435000.0|828141000.0|19215000.0|2231236000.0|0.0|1233323000.0|||-227542000.0|4388000.0|463353000.0|-7823000.0|456944000.0|-635524000.0|-48962000.0|0.0|78233000.0|78233000.0|78233000.0|0.0|270421000.0|0.0|107383000.0|1274233000.0|2695033000.0|2695033000.0|0.0|1231801000.0|72474186.0||AAN|1628703000.0|43471000.0|22.47287055|
6|-517000.0|2655171000.0|||18.82582431|-53042000.0|14942000.0|14942000.0|372817000.0||0.94287723|606746000.0|606746000.0|1292847000.0||0.09|2015-12-31|236459000.0|1529306000.0|1529306000.0|236459000.0|213120000.0|1.87|1.86|1.87|1366618000.0|1366618000.0|113719000.0|1.56653426|2806939000.0|815387000.0|23339000.0|2431588000.0|0.0|1288553000.0|||11393000.0|1038000.0|-40657000.0|-6822000.0|-46518000.0|-108850000.0|166761000.0|0.0|135709000.0|135709000.0|135709000.0|0.0|300356000.0|0.0|113439000.0|1403120000.0|3179756000.0|3179756000.0|0.0|1357030000.0|72592731.0||AAN|1839784000.0|77411000.0|25.34391494|
0|-6699000.0|3072963000.0|1887618000.0|1185345000.0|13.57589007|-185539000.0|100018000.0|100018000.0|2768397000.0|1.28757383|1.39632476|204271000.0|204271000.0|150917000.0|1.00692364|0.24|2010-01-02|454992000.0|605909000.0|605909000.0|454992000.0|431655000.0|2.85|2.83|2.85|1282365000.0|1282365000.0|514151000.0|5.44311288|2644226000.0|60806000.0|23337000.0|1650383000.0|1631867000.0|1790598000.0|1466027000.0|324571000.0|62660000.0|-64660000.0|-262560000.0|-22803000.0|-451491000.0|-185539000.0|699690000.0|0.0|270373000.0|270373000.0|270373000.0|0.0|998366000.0|0.0|92560000.0|1287268000.0|5412623000.0|5412623000.0|0.0|2189841000.0|94459000.0|95113000.0|AAP|3012157000.0|161282000.0|31.88851248|421591000.0
1|-1597000.0|3354217000.0|2124271000.0|1229946000.0|12.07423155|-199350000.0|59209000.0|59209000.0|2963888000.0|1.14946682|2.22715115|301824000.0|301824000.0|164437000.0|1.01246486|0.24|2011-01-01|583916000.0|748353000.0|748353000.0|583916000.0|557055000.0|4.0|3.95|4.0|1039374000.0|1039374000.0|466809000.0|5.42284101|2961315000.0|59747000.0|26861000.0|1689036000.0|1863870000.0|2314843000.0|1848049000.0|466794000.0|-40809000.0|-580282000.0|98789000.0|-21051000.0|-507618000.0|-199350000.0|666159000.0|0.0|346053000.0|346053000.0|346053000.0|0.0|1323761000.0|0.0|124227000.0|1612927000.0|5925203000.0|5925203000.0|0.0|2376382000.0|86082000.0|87155000.0|AAP|3294470000.0|211002000.0|38.27129946|276222000.0
2|2804000.0|3655754000.0|2293820000.0|1361934000.0|11.21282729|-266841000.0|57901000.0|57901000.0|3101172000.0|1.0484236999999998|3.31146791|415984000.0|415984000.0|175949000.0|1.01918805|0.24|2011-12-31|664185000.0|840134000.0|840134000.0|664185000.0|633236000.0|5.21|5.11|5.21|847914000.0|847914000.0|562008000.0|7.43200212|3069290000.0|107769000.0|30949000.0|1718193000.0|2043158000.0|2807840000.0|2187875000.0|619965000.0|-1308000.0|-610093000.0|121625000.0|-18554000.0|-540183000.0|-289974000.0|828849000.0|0.0|394682000.0|394682000.0|394682000.0|0.0|1653183000.0|0.0|140007000.0|1989629000.0|6170462000.0|6170462000.0|0.0|2404648000.0|75620000.0|77071000.0|AAP|3547985000.0|238554000.0|46.91860619|105945000.0
3|2667000.0|4613814000.0|3184200000.0|1429614000.0|16.56420079|-264609000.0|598111000.0|598111000.0|3106967000.0|1.24400403|2.81088367|605088000.0|605088000.0|189544000.0|1.01328481|0.24|2012-12-29|657915000.0|847459000.0|847459000.0|657915000.0|624074000.0|5.29|5.22|5.29|1210694000.0|1210694000.0|420672000.0|5.75545553|3098036000.0|105234000.0|33841000.0|1955919000.0|2308609000.0|3403120000.0|2559638000.0|843482000.0|540210000.0|-18600000.0|177445000.0|-17596000.0|127907000.0|-272978000.0|685281000.0|0.0|387670000.0|387670000.0|387670000.0|0.0|2029814000.0|0.0|229866000.0|714900000.0|6205003000.0|6205003000.0|0.0|2440721000.0|73091000.0|74062000.0|AAP|4508580000.0|236404000.0|61.68447552|624562000.0
4|3683000.0|5564774000.0|3989384000.0|1575390000.0|20.789867|-195012000.0|1112471000.0|1112471000.0|3241668000.0|1.44292739|2.67019895|1053584000.0|1053584000.0|207795000.0|1.0066365|0.24|2013-12-28|663016000.0|870811000.0|870811000.0|663016000.0|626398000.0|5.36|5.32|5.36|1516205000.0|1516205000.0|350238000.0|4.80238585|3252146000.0|249707000.0|36618000.0|2491395000.0|2556557000.0|4048569000.0|2764785000.0|1283784000.0|514360000.0|-77184000.0|445679000.0|-17574000.0|331217000.0|-362107000.0|545250000.0|0.0|391758000.0|391758000.0|391758000.0|0.0|2180614000.0|0.0|277595000.0|1089112000.0|6493814000.0|6493814000.0|0.0|2591828000.0|72930000.0|73414000.0|AAP|5315067000.0|234640000.0|72.87902098|1224599000.0
