Date|REVENUE|ASSETS|CAPEX|GP|EQUITY|EPS
2009-02-28|4440800000.0|12255700000.0|-109800000.0|1948500000.0|8210800000.0|0.13
2009-05-31|4712900000.0|13249600000.0|-102300000.0|2043400000.0|8693100000.0|0.18
2009-08-31|4799000000.0|13190600000.0|-80000000.0|2216000000.0|9090700000.0|0.27
2009-11-30|4405000000.0|13358400000.0|-84000000.0|1960000000.0|9224100000.0|0.19
2010-02-28|4733000000.0|13576300000.0|-66000000.0|2218000000.0|9428900000.0|0.26
2010-05-31|5077000000.0|14419000000.0|-95000000.0|2406000000.0|9754000000.0|0.27
2010-08-31|5175000000.0|14051000000.0|-89000000.0|2434000000.0|9660000000.0|0.29
2010-11-30|4842000000.0|14464000000.0|-102000000.0|2193000000.0|9949000000.0|0.24
2011-02-28|5079000000.0|14478000000.0|-111000000.0|2327000000.0|9902000000.0|0.28
2011-05-31|5021000000.0|14998000000.0|-129000000.0|2248000000.0|9843000000.0|0.33
2011-08-31|6081000000.0|14803000000.0|-113000000.0|2693000000.0|9899000000.0|0.35
2011-11-30|5546000000.0|14565000000.0|-145000000.0|2376000000.0|9843000000.0|0.26
2012-02-29|5656000000.0|14794000000.0|-120000000.0|2485000000.0|10176000000.0|0.31
2012-05-31|6236000000.0|15465000000.0|-183000000.0|2669000000.0|10381000000.0|0.3
2012-08-31|6474000000.0|15114000000.0|-107000000.0|2828000000.0|10047000000.0|0.33
2012-11-30|5955000000.0|15171000000.0|-143000000.0|2530000000.0|10014000000.0|0.29
2013-02-28|6187000000.0|15615000000.0|-174000000.0|2736000000.0|10667000000.0|0.37
2013-05-31|6697000000.0|17545000000.0|-160000000.0|2940000000.0|11081000000.0|0.4
2013-08-31|6971000000.0|17674000000.0|-244000000.0|3132000000.0|11282000000.0|0.44
2013-11-30|6431000000.0|17820000000.0|-204000000.0|2826000000.0|11344000000.0|0.3
2014-02-28|6972000000.0|17803000000.0|-221000000.0|3103000000.0|11133000000.0|0.39
2014-05-31|7425000000.0|18594000000.0|-208000000.0|3385000000.0|10824000000.0|0.4
2014-08-31|7982000000.0|18521000000.0|-260000000.0|3721000000.0|11105000000.0|0.56
2014-11-30|7380000000.0|19167000000.0|-225000000.0|3327000000.0|11700000000.0|0.38
2015-02-28|7460000000.0|20541000000.0|-235000000.0|3426000000.0|12368000000.0|0.46
2015-05-31|7779000000.0|21597000000.0|-240000000.0|3593000000.0|12707000000.0|0.51
2015-08-31|8414000000.0|20766000000.0|-318000000.0|3995000000.0|12894000000.0|0.69
2015-11-30|7686000000.0|22583000000.0|-288000000.0|3501000000.0|13405000000.0|0.46
2016-02-29|8032000000.0|20987000000.0|-286000000.0|3689000000.0|12300000000.0|0.56
2016-05-31|8244000000.0|21379000000.0|-241000000.0|3786000000.0|12258000000.0|0.5
2016-08-31|9061000000.0|21156000000.0|-277000000.0|4123000000.0|12165000000.0|0.75
